# Differential-oracle vectors: inputs + outputs of chrony 4.5's REAL regress.c
# (compiled from /tmp/chrony-src commit 120dfb8, gcc -O2). Section WREG ==
# RGR_WeightedRegression cases 'n x y w... | b0 b1 s2 sb0 sb1'; FBREG ==
# RGR_FindBestRegression 'n m min x y... w... | ok b0 b1 s2 sb0 sb1 best_start n_runs dof'.
# Used by regress.rs to differential-test the Rust port against the actual C.
WREG 40
15 11 2 -250.19618644843982 -0.39441802699313538 -240.75826698249281 -0.39419366961829405 -230.29904326841222 -0.39299172380390973 -220.29501963928618 -0.39284520256575728 -210.32906689839157 -0.3912532571479953 -200.46814312368895 -0.39130696101585477 -190.75878957200763 -0.39046378832234413 -180.71514863371505 -0.3888937131143233 -170.70849001427564 -0.38902759116409974 -160.77836189845863 -0.38825426891692061 -150.90645656529841 -0.38675971287325606 -140.29707683120154 -0.38576880745389563 -130.73183966087211 -0.38502942204036505 -120.92707046858261 -0.38432075681771627 -110.24062872121554 -0.38422476925365856 -100.57132352145467 -0.3832992004625243 -90.907170995931338 -0.38273415034949182 -80.321546978429524 -0.3815057560460155 -70.309786174980573 -0.38038640310555277 -60.324605906849953 -0.37951432994873269 -50.070956466385887 -0.37950908429447633 -40.690590000767699 -0.37805788464486256 -30.984048119610208 -0.37754047465036833 -20.483401271769551 -0.37633015245200457 -10.871204230010839 -0.37611459679701759 -0.4700704050232587 -0.37551392492762503 1.4505817614488805 1.0705364821783401 0.74756752818733785 0.75060435917269641 1.197032823759022 1.1605420460589055 1.1682871167067308 1.4482814546441931 0.87988741630580258 1.2840265279099281 1.3871283596700807 0.90443626931346477 0.87793142938606605 1.0897249315480737 0.53509311888029509 | 1 -0.37523457493331508 7.7063763458613092e-05 1.2273274867232709e-07 0.00016063483211992816 1.9934956251285832e-06 0 6 13
6 3 3 -80.623238563910363 -0.50306363533339937 -70.541815369635913 -0.50218921415786921 -60.703802866038124 -0.5029497150486204 -50.835019345830247 -0.50315667031475686 -40.067646557274379 -0.50272484030873943 -30.750268035515319 -0.50280436431471398 -20.530779253071991 -0.50280442553359672 -10.752413374336388 -0.5027604668869472 -0.21414866388875065 -0.50359964275608748 1.231470562790201 1.1727283142855169 1.0961372913833878 0.52816081516537294 1.291689349489999 0.75192760178816753 | 1 -0.50321412438659485 -9.6165230567079137e-06 1.2600266269450448e-07 0.00025019159800181287 8.881043029818329e-06 0 3 4
7 5 3 -110.10593938478763 -0.90091376204577533 -100.87266019954569 -0.90167149107518962 -90.5534434215581 -0.90079388709822461 -80.730274900991546 -0.90164753373476902 -70.480171576231555 -0.90155821810295622 -60.567181576843311 -0.90153874977161985 -50.403029855894594 -0.90152532927567774 -40.956704625009301 -0.90172623095948534 -30.967954723893286 -0.90120369957068469 -20.207118393985262 -0.9020191616682004 -10.230886168414688 -0.90165440763326665 -0.55583947524630184 -0.90160201700079956 0.83722893272930909 1.4648294296856199 1.3347110044928188 0.74250361073224846 1.4600387586693737 1.1241338419316766 0.80711771666605137 | 1 -0.90163326192077531 -2.2243446667933027e-06 6.8591814397480001e-08 0.00017242101547480852 4.724902963419306e-06 0 4 5
9 5 2 -130.16939613011448 0.47661055056334151 -120.41957479308421 0.47695993286447808 -110.13870777356927 0.47749628621196177 -100.46561348582817 0.47786776622208066 -90.73220609012634 0.47899753898540104 -80.766156157161646 0.47992389610082531 -70.810425672261118 0.48046584776984302 -60.224570498375464 0.4806671263611566 -50.70568510406784 0.4816803143956358 -40.675352500976011 0.48212058122496226 -30.547095227170647 0.4824365409269652 -20.293413227930195 0.48390479773348977 -10.664505972347563 0.48415013164853887 -0.28744596467229022 0.48446863348146768 1.3071439258118993 0.6053409880764633 0.85937470844370711 0.5961040376309642 1.2614100604925891 1.294945923724879 1.3957973450188512 1.2861588172660869 0.50247625613167057 | 1 0.4845869385975986 5.9282330791723412e-05 6.440309510812701e-08 0.000150399098813443 3.1024382009806463e-06 0 6 7
12 4 3 -150.39426188711627 0.71610027477879401 -140.3553150196079 0.71553602340775191 -130.16790276074303 0.71443930114641896 -120.91984819419363 0.71386501301059779 -110.64844523840679 0.71295668816008795 -100.4296453001147 0.71255748193266699 -90.026786579923524 0.7122079568753642 -80.781624414398536 0.71183055628220804 -70.840118298143949 0.7104839142220627 -60.902618898905949 0.71051547745865162 -50.430629492686563 0.70931325536953727 -40.547610576794781 0.70897995985976725 -30.673408137487733 0.70823931302153642 -20.362643287643916 0.70683070251164193 -10.524305290369178 0.70641545719509879 -0.97525221055004163 0.70632970937498407 1.087896431524267 1.3335757382532498 1.3517013399227995 0.56151680515420599 0.92247461202572645 1.3210322700319517 1.449247280840853 0.97604529374564142 0.54695287715224616 1.0400766892779196 1.4829471024058067 1.304036682506756 | 1 0.70605658029290519 -6.6626394619337054e-05 1.2714692997365156e-07 0.00020401472466959544 3.1475292428559619e-06 0 8 10
19 16 1 -340.15279395097548 -0.35053210028143278 -330.5316349158777 -0.35007262342696316 -320.46250024585834 -0.35066529803140278 -310.33645548808221 -0.35049749995443236 -300.85529231553517 -0.35084569679810523 -290.82783685306418 -0.35074515627555874 -280.42270795449957 -0.35108871400748465 -270.94812704013464 -0.35061009234799945 -260.99844620791578 -0.35056928796949444 -250.59206313344123 -0.35089499071198405 -240.59615705800604 -0.35138101899487673 -230.36751735672888 -0.35127894366006168 -220.4402630154855 -0.35119117749011913 -210.09877273223168 -0.35125049475864434 -200.07032491984381 -0.35129923785797323 -190.62421213664607 -0.35150612468344872 -180.00002704543931 -0.3522103932478976 -170.39842344152993 -0.35144568378833602 -160.20267382600389 -0.3522088011861082 -150.7023807824032 -0.35222761592436269 -140.40327610148324 -0.35244311937499528 -130.61045566373411 -0.35187336790982732 -120.83093432981789 -0.3528132115982911 -110.21702822026928 -0.35217663583653536 -100.03309289434493 -0.35217867193103136 -90.214892593991607 -0.35216613434102939 -80.153128385768639 -0.35297703563176891 -70.358205628870763 -0.3525945954576083 -60.663253372938641 -0.35277538128552804 -50.80655912197993 -0.35283937078799954 -40.956348840527617 -0.35333782740011799 -30.49626820526953 -0.35307256970718059 -20.872004272959948 -0.35292271271343562 -10.108684754865116 -0.35372133097632658 -0.50009034774408323 -0.35382444975929056 0.8567514916621074 0.71715381992936056 1.3423366970353721 1.2714310505900439 0.9669987488933619 1.1572258465116492 1.4348106066372281 1.1782914142789884 0.75530120407002943 0.66501971453720798 1.2855136162827465 0.86573279804415415 0.88509416431705557 0.57222369326112532 1.1429257598083027 0.92960109238111166 1.0271998147333015 0.76247015907719562 0.67909234947485486 | 1 -0.3534791888842625 -9.7997684745074028e-06 1.1296097554246991e-07 0.00014169812125622099 1.3843412099290699e-06 0 11 17
16 11 3 -260.28170824179506 0.37579831028128963 -250.28904214641932 0.37585933687614459 -240.40643657035844 0.37502807488032364 -230.66620296531497 0.37444655868587468 -220.55708682394047 0.37357547621394233 -210.58918907139778 0.37264466658764095 -200.84170380852308 0.37221281381249871 -190.84365577459857 0.37094482302490533 -180.27088726583952 0.37086127748695691 -170.02326082652371 0.3692707538153015 -160.89727739106692 0.36915357641689966 -150.23062095000449 0.36870253434518874 -140.31535942570861 0.36715646731321805 -130.32075163090801 0.36694114934396116 -120.59206480026654 0.36584311730564806 -110.84428980910528 0.36517808633746646 -100.35899370345895 0.36437720839407034 -90.086168718039701 0.36384517469033828 -80.330831062518399 0.36341813209937285 -70.582134065514467 0.36248328870417906 -60.373303432409806 0.36190020591201477 -50.644057650524928 0.36118796928287583 -40.811807307646909 0.36032398379961444 -30.055319734263918 0.36018167227854242 -20.487131166322989 0.35920073233377625 -10.495871979254202 0.35844175433482328 -0.53298478373598424 0.35803173722696358 0.67753750183824402 0.94292378790341214 0.76005920472543576 0.93974139169533388 1.0704555754152065 1.2736215503374622 1.204129673533237 0.54378127160414025 0.53694060524538778 0.66509344795335645 0.56139626254484576 1.1010766662235902 0.69433330201067212 1.373326689490638 0.74666589169176256 0.88238416420079646 | 1 0.35776402219434156 -6.9121245464279427e-05 6.794346476450137e-08 0.00012654046914324109 1.4487261961210664e-06 0 9 14
15 1 2 -150.15159273561676 -0.50325672538923027 -140.18652496458805 -0.50305895972981052 -130.92361578460535 -0.50332844951605771 -120.06044266288835 -0.50270220751136485 -110.69536534725293 -0.50293073651288323 -100.5128184934234 -0.5018650579166819 -90.187098753460006 -0.50168256684152412 -80.239503909188372 -0.50150179182052901 -70.973747404106945 -0.50149689743611792 -60.627521098828829 -0.50102218313541225 -50.273098933258794 -0.50164805663375078 -40.017936618777284 -0.50088590685306389 -30.309662664864753 -0.50125407703473313 -20.836767088564823 -0.50035846724517397 -10.664511507387678 -0.50009602263742015 -0.019030878033852283 -0.50006994119367842 1.3213383309976634 1.3876484939268485 0.92694198332809175 1.0212309984071717 0.58328769069793118 1.2069441497543538 0.81863285848771628 0.63272406939505443 1.0592420213854352 1.4925484679267238 1.3625002949104998 0.91111754843324977 1.295626071416025 0.93131486938243857 1.3757388100818224 | 1 -0.50002775283879664 2.1736377253591901e-05 1.1290797370551402e-07 0.00017687616662308189 2.132813395442973e-06 0 8 13
15 2 3 -160.36424221767754 0.77773975487043945 -150.69851728289981 0.77922762807422441 -140.76230125619176 0.7794779108267772 -130.87681694539691 0.78078710144112573 -120.70278664652261 0.78152097322326708 -110.02040742650482 0.7819771386324722 -100.35563058543616 0.7825620193906947 -90.653309756733833 0.7835869802907991 -80.917444725676276 0.78429095405011817 -70.531691932364211 0.78588511288296126 -60.134541037462192 0.78642017082377869 -50.122171803705605 0.7869917174001092 -40.317765817187819 0.78751461793675182 -30.921348323924455 0.78840971378111779 -20.922745819820499 0.78999807775884578 -10.599830092555623 0.79038857339028001 -0.35164950534185035 0.79090117176938779 0.8526992093803174 1.294664843455271 1.3736068422473182 0.76495480834652607 1.2158258318307145 1.0889136969574111 1.3380157637468439 1.125223635342677 1.0912595489410619 1.3262199402334698 0.80736570446631972 0.86656349758841222 1.1860193549285645 1.3468588055385995 0.64401524897852813 | 1 0.79110566819740258 8.1623123113593079e-05 9.2661489156996536e-08 0.00014285003457107642 1.7516981755363077e-06 0 7 13
14 13 2 -260.32301108099801 -0.65336006462161955 -250.50799255767319 -0.65290944029450171 -240.28843768305853 -0.65321513021695188 -230.69499436050506 -0.65188196256315811 -220.28689836518922 -0.65193318330927386 -210.46650640385153 -0.65126942521818076 -200.75450716693001 -0.65088084982221905 -190.38775253821703 -0.65077299126459531 -180.15248704509622 -0.65045596109355142 -170.09877857307663 -0.6501182209678894 -160.62077299084964 -0.6493664475929436 -150.57446718200413 -0.64944825018088348 -140.10180683417283 -0.64825717190561172 -130.3018906556315 -0.64802299306109501 -120.30365777197763 -0.648057117740796 -110.70885708916589 -0.64795347707617168 -100.07625230918974 -0.64690948360730227 -90.831561574310285 -0.64682257458135217 -80.451891447146068 -0.64650806810611594 -70.345820847746623 -0.6458303212916483 -60.027900857946783 -0.6454971744970075 -50.271017581976395 -0.64481437508186767 -40.045782428398503 -0.64448199413912588 -30.25741051914255 -0.64465231321027427 -20.288689272215127 -0.64347536048271192 -10.494942644317812 -0.64355245768203184 -0.25690392510222904 -0.64319148645440505 0.89168538447182855 0.83452324758071073 1.0835592722676537 0.56555294578131377 1.4115640350461753 0.66496784568766132 0.63437974706691813 0.74032549743975751 1.4033630912647608 0.82810544841035472 1.1171856226219816 1.211593442765619 1.4706638012127939 1.1149227561477839 | 1 -0.64304513747692549 4.04797952934989e-05 6.0754218058144245e-08 0.0001381404669587475 1.7244046457134389e-06 0 10 12
13 4 2 -160.56178976051504 0.23433809988440599 -150.57156152641255 0.23409436315878288 -140.40879270406754 0.23402451265115093 -130.1003346551054 0.23357843738721959 -120.44266846021048 0.23343683138625954 -110.50966907136218 0.23339515625995449 -100.73643930139559 0.23313731511425842 -90.259796518435181 0.2329183343540038 -80.651298099416593 0.23287116350877238 -70.731327704726013 0.23290414856548933 -60.341027652015775 0.23224413077587155 -50.021473212732545 0.23211668721283304 -40.524203780095974 0.23264217170097432 -30.345559353893218 0.23238049691641249 -20.096046649122322 0.2312679725197288 -10.125644161382963 0.23123154410288418 -0.0016439217429405906 0.23112265015891897 0.84998230122989438 1.3700826470800234 1.4492867869224675 0.87554582991889429 0.99927732768662458 0.7055326380921666 1.1219483111846746 1.0630737559314589 0.93080870622962097 0.70874441287466883 1.3672313695923588 1.488236591698787 0.78673408423466806 | 1 0.23135874726213088 -1.8498586875510694e-05 9.8706933677119151e-08 0.0001650489604031505 2.3489682873682778e-06 0 5 11
8 3 2 -100.01712630617085 0.083790061771900043 -90.71319921697814 0.083320994706274562 -80.862623687280234 0.082277622062752132 -70.840210353906556 0.082358574171684629 -60.158059521987155 0.081260104136932243 -50.427685119298545 0.081588885788539456 -40.654441855093083 0.080897968519801397 -30.09330180977074 0.080790327918900826 -20.815222051750016 0.079462493958657079 -10.283743549955135 0.079352258298933956 -0.93917611524107047 0.079206083503077715 1.2171205599822548 1.3731557542663073 0.52341132682993829 1.4499251102904704 0.69592113566224256 0.84710927632472166 0.54107735472867369 1.4302049505041217 | 1 0.078942732381664618 -4.8133022536290286e-05 1.2670051826721361e-07 0.00023625898121180128 5.9340100119855358e-06 0 7 6
18 2 1 -190.00775120832768 0.26171782106175806 -180.28083621690647 0.26256376435112089 -170.95264528768809 0.26268685251625079 -160.15642437757541 0.26311148360935427 -150.84180558934696 0.26321181224661733 -140.88842380015478 0.26408222446940649 -130.19724875095764 0.2639326500772155 -120.76885864449234 0.2649059825856861 -110.02561583349491 0.26444242168307985 -100.37732597065771 0.26561648733227078 -90.889044939537484 0.26561368666667029 -80.425618426293184 0.26552663558459089 -70.25834163309618 0.26679700320285005 -60.878281275780367 0.26631901365659216 -50.982069275593595 0.26683967814235526 -40.747730600854723 0.26769493891259016 -30.5476928414352 0.26758164814769519 -20.208790857364409 0.26801380466812974 -10.993174999441248 0.26826910214383182 -0.33118864089199873 0.26875328521492742 1.3452269580510208 0.56968349733888057 0.70200859465263177 0.75907486106135902 1.3766432971301632 0.68592061846647767 1.0632202627269414 0.8672245811619036 0.88437224680314164 1.3125335746828648 1.2091715766141371 0.69205391442683473 1.1848092831344346 0.84615183844747921 1.4724187639488988 1.3210506823863932 1.2841158274227742 0.55521508501235428 | 1 0.26877194364718787 3.5157812451728102e-05 8.433008042787655e-08 0.00013231858989272357 1.2799761691527826e-06 0 11 16
